Day,Date,Country,City,Lat / Long,Location,Housing,Solo?,Weather,Health,Morale,Housing,Notes,,Companion(s),Chance Encounters
110,2016-Nov-01 (Tue),Egypt,Cairo,,Havana Hotel,Hotel,TRUE,4,3,5,3,"Last-minute to-dos. Checkout. Federal breakfast. Short flight to Cairo, transfer to hotel. First meeting with Oasis group, lots of oldies.",,,
111,2016-Nov-02 (Wed),Egypt,Cairo,,Havana Hotel,Hotel,TRUE,5,2,2,3,"Slept through alarm due to all-night excited whiskey binge, whole team late for pyramids. Pyramids, sphinx, dumb perfume shop. Early to bed.",,,
112,2016-Nov-03 (Thu),Egypt,Near St. Paul’s Monastery,,Near St. Paul’s Monastery,Bush Camp,FALSE,5,4,4,3,"First truck day. Improved social morale, truck life seems fun. St Paul’s Monastery. First bush camp setup at dusk. Dinner, joined the kids for Cards Against Humanity.",,,
113,2016-Nov-04 (Fri),Egypt,Hurghada,,Sea View Hotel,Hotel,FALSE,4,4,4,3,"First bush camp breakfast, teardown. Bumpy ride with attempted napping. Lunch with the kids, explicitly friendlier. Nap. Overly long dinner out with whole Cairo-to-Capetown crew. Cab home, crash.",,,
114,2016-Nov-05 (Sat),Egypt,Hurghada,,Sea View Hotel,Hotel,FALSE,5,4,4,3,"Breakfast at hotel, day trip to reef for snorkeling. First iPhone underwater test, did slo-mo. Skipped dinner for Istanbul Instagram catchup, video QA, etc.",,,
115,2016-Nov-06 (Sun),Egypt,Luxor,,Rezeiky Campsite,Hotel,FALSE,5,4,3,2,Drive to Luxor. Checkin at washed up (not literally) hotel. Cook group formation.,,,
116,2016-Nov-07 (Mon),Egypt,Aswan,,Orchida St George Hotel,Hotel,FALSE,5,4,4,3,"Charter bus to Aswan. Sudanese embassy visit (late due to Janet passport photos). Better hotel, Dragoman truck guests, food run, boat trip to Mohamed’s for dinner and drinks. Early night with de Nile FB post in advance of election.",,,
117,2016-Nov-08 (Tue),Egypt,Nile River between Aswan and Luxor,,Nile River between Aswan and Luxor,Sailboat,FALSE,5,4,5,4,"Hotel breakfast. Duty free whiskey. Joined youth sloop…with Peter and Janet. Lazy day: swimming, falafel. Jude/Marina clashing, Denisha drunk chat, mark boasting about bedding chicks, etc.",,,
118,2016-Nov-09 (Wed),Egypt,Nile River between Aswan and Luxor,,Nile River between Aswan and Luxor,Sailboat,FALSE,5,4,4,4,Boat breakfast. Trump news. Lazy boat day with fun drunken night. Fascism insomnia with smokes on Nile banks.,,,
119,2016-Nov-10 (Thu),Egypt,Luxor,,Rezeiky Campsite & Hotel,Hotel,FALSE,5,4,3,2,"Early rise for boat breakfast and docking. Kom Ombo and Edfu temples, street food en route back to Luxor. Bonding with kids over pizza and beer, early night.",,,
120,2016-Nov-11 (Fri),Egypt,Luxor,,Rezeiky Campsite & Hotel,Hotel,FALSE,5,4,3,2,"Breakfast in parking lot. Valley of the Kings, Valley of the Queens, Village of the Workers. Faz/Q hookup walkin. Dinner at restaurant recommendation. Early night.",,,
121,2016-Nov-12 (Sat),Egypt,Luxor,,Rezeiky Campsite & Hotel,Hotel,FALSE,5,4,3,2,"First breakfast by my cook group. Skipped temple tour excursions in favor of grumpiness, sleep, and intermittent internet. Fun social dinner at last night in hotel.",,,
122,2016-Nov-13 (Sun),Egypt,Aswan,,Orchida St George Hotel,Hotel,FALSE,5,4,5,4,"Truck day, long drive back to Aswan. Everyone in high spirits. Sudan visa acquired! Stayed in, mostly online, early night.",,,
123,2016-Nov-14 (Mon),Egypt,Aswan,,Orchida St George Hotel,Hotel,FALSE,5,4,3,4,"Half group on bus tour to low and high Aswan dams, temple on the lake, and a papyrus museum. Internetting, called Eyor by Marina, early night.",,,
124,2016-Nov-15 (Tue),Egypt,Aswan,,Orchida St George Hotel,Hotel,FALSE,5,4,4,4,Morning walk to Nubian Museum. Attempted internet with nap. Ditched by the kids for beach outing but fun night out at riverside bar with the oldies.,,,
125,2016-Nov-16 (Wed),Egypt,Abu Simbel,,Eskaleh Nubian Ecolodge,Campground,FALSE,5,4,2,4,Grouchy drive to Abu Simbol. Nice campground/hotel with beer and Muslim beauty.,,,
126,2016-Nov-17 (Thu),Sudan,Near Wadi Halfa,"21.8186,31.3977",South of Wadi Halfa,Bush Camp,FALSE,5,4,4,4,"Abu Simbol temple at dawn. Sudan border crossing day. Wadi Halfa visit for groceries, captivating/captivated-by-Denisha barista. Attempted bush camping bust. First dry (of alcohol) night.",,,
127,2016-Nov-18 (Fri),Sudan,Near Merowe,,Near Merowe,Bush Camp,FALSE,5,4,4,4,"1/3 point of trip @ 380 days. Begin writing the big writing project first thing. Wadi Halfa stop, skipped Soleb temple tour across the river, Nile-side “bathing” and camping. Hilarious Denisha & Al princess fireside chat.",,,
128,2016-Nov-19 (Sat),Sudan,South of Salim,"18.7308,31.619",South of Salim,Bush Camp,FALSE,5,4,4,4,Selim market stop. Selim audience crowd goes from innocent and mildly troubling to dark by the end. Bush camp in abandoned desert village.,,,
